"","region","Fall","Winter","Spring","Summer"
"1","VIL",10.9549245898966,-3.24896552408739,0.91453651580866,-12.7586096177831
"2","SIR",8.05349279011267,3.29488467300769,5.87230455029034,-4.86522216686337
"3","NRM",-1.66756239458591,-0.217374882480423,-2.17789906039596,-3.22874983626086
"4","SEM",-9.53516820354042,-7.81295621167862,-3.80519202577292,14.3940176818541
"5","NCM",-11.0532835489094,-16.0519291231055,-2.80435961501301,6.56592962858387
"6","CCM",-7.62307024766785,-8.10157415765967,-3.89134228545958,-4.36321792114654
"7","SCM",5.39765486102207,0.687167115583054,2.47830427302827,-10.3593348763616
"8","NIR",-0.860554355233449,-3.31441163245259,-0.504515362755504,-2.23187896960602
"9","CRM",4.02011659241822,4.69520929850112,0.0385083438258362,3.84252305245575
"10","SRM",3.67882400279871,1.69536809295127,3.57577227229317,-1.71083416204107
