"","region","type_long","n","sum","tot","perc"
"1","CCM","Clean Ice Glacier",2214,1858.40026362345,2296,96.4285714285714
"2","CCM","Debris-Covered Glacier",4,6.92912393191691,2296,0.174216027874564
"3","CCM","Proglacial Lake Glacier",78,170.006953157505,2296,3.39721254355401
"4","CRM","Clean Ice Glacier",379,342.209330387512,403,94.044665012407
"5","CRM","Proglacial Lake Glacier",24,167.841478361668,403,5.95533498759305
"6","NCM","Clean Ice Glacier",2848,4159.19063663893,3133,90.9032875837855
"7","NCM","Debris-Covered Glacier",28,332.561473587432,3133,0.893712097031599
"8","NCM","Proglacial Lake Glacier",257,6100.98007438074,3133,8.20300031918289
"9","NIR","Clean Ice Glacier",701,610.759272518146,729,96.159122085048
"10","NIR","Proglacial Lake Glacier",28,81.3339467257688,729,3.84087791495199
"11","NRM","Clean Ice Glacier",443,455.836593188059,466,95.0643776824034
"12","NRM","Debris-Covered Glacier",2,3.34628914483362,466,0.429184549356223
"13","NRM","Proglacial Lake Glacier",21,35.4925929384188,466,4.50643776824034
"14","SCM","Clean Ice Glacier",3377,4772.20584824984,3622,93.2357813362783
"15","SCM","Debris-Covered Glacier",20,144.965413635965,3622,0.552181115405853
"16","SCM","Proglacial Lake Glacier",225,2837.14406925359,3622,6.21203754831585
"17","SEM","Clean Ice Glacier",452,721.431683832595,510,88.6274509803922
"18","SEM","Debris-Covered Glacier",16,311.93580623266,510,3.13725490196078
"19","SEM","Proglacial Lake Glacier",42,2297.82896127601,510,8.23529411764706
"20","SIR","Clean Ice Glacier",1785,1983.63842109827,1859,96.0193652501345
"21","SIR","Debris-Covered Glacier",5,8.61384904683265,1859,0.268961807423346
"22","SIR","Proglacial Lake Glacier",69,227.394704991305,1859,3.71167294244217
"23","SRM","Clean Ice Glacier",1227,1104.03448755737,1296,94.6759259259259
"24","SRM","Debris-Covered Glacier",10,30.634589034731,1296,0.771604938271605
"25","SRM","Proglacial Lake Glacier",59,462.415793285153,1296,4.55246913580247
"26","VIL","Clean Ice Glacier",57,13.865803576594,61,93.4426229508197
"27","VIL","Proglacial Lake Glacier",4,4.23098203376434,61,6.55737704918033
